estrutura_linguagem tempo tamanho
linkedlist-cpp 76300 86422
linkedlist-cpp 52400 60928
linkedlist-cpp 78200 84846
linkedlist-cpp 68300 76241
linkedlist-cpp 15000 21664
linkedlist-cpp 92900 99439
linkedlist-cpp 82700 94529
linkedlist-cpp 18700 24869
linkedlist-cpp 38300 44671
linkedlist-cpp 32000 37773
linkedlist-cpp 7100 10449
linkedlist-cpp 9500 12808
linkedlist-cpp 9900 14435
linkedlist-cpp 84900 88177
linkedlist-cpp 670000 727791
linkedlist-cpp 424300 494488
linkedlist-cpp 474300 529508
linkedlist-cpp 91300 106007
linkedlist-cpp 200900 250829
linkedlist-cpp 94400 105348
linkedlist-cpp 692400 825811
linkedlist-cpp 635200 729912
linkedlist-cpp 161200 192624
linkedlist-cpp 551600 614031
linkedlist-cpp 674300 717777
linkedlist-cpp 819500 894757
linkedlist-cpp 168400 186447
linkedlist-cpp 377200 421717
linkedlist-cpp 212800 255469
linkedlist-cpp 395300 470719
linkedlist-cpp 676100 769532
linkedlist-cpp 807900 855053
linkedlist-cpp 716000 826011
linkedlist-cpp 475500 568605
linkedlist-cpp 304200 359668
linkedlist-cpp 111800 130833
linkedlist-cpp 699000 772596
linkedlist-cpp 301600 382131
linkedlist-cpp 767800 834656
linkedlist-cpp 96500 111581
linkedlist-cpp 536300 662816
linkedlist-cpp 932000 929594
linkedlist-cpp 683500 760871
linkedlist-cpp 830900 947797
linkedlist-cpp 539500 610611
linkedlist-cpp 737700 825612
linkedlist-cpp 871300 953927
linkedlist-cpp 474300 544294
linkedlist-cpp 425800 452625
linkedlist-cpp 633800 719291
linkedlist-cpp 599500 670464
linkedlist-cpp 788600 914295
linkedlist-cpp 546400 657422
linkedlist-cpp 241000 277944
linkedlist-cpp 105400 128419
linkedlist-cpp 585800 618778
linkedlist-cpp 675400 804757
linkedlist-cpp 747300 823135
linkedlist-cpp 212800 243626
linkedlist-cpp 308700 378093
linkedlist-cpp 136200 146241
linkedlist-cpp 739900 844492
linkedlist-cpp 145500 151998
linkedlist-cpp 525500 572359
linkedlist-cpp 197000 220841
linkedlist-cpp 395800 453933
linkedlist-cpp 675500 712673
linkedlist-cpp 395100 444427
linkedlist-cpp 134100 158575
linkedlist-cpp 473300 555213
linkedlist-cpp 255500 278643
linkedlist-cpp 788300 883552
linkedlist-cpp 330900 383044
linkedlist-cpp 862600 972529
linkedlist-cpp 684300 789787
linkedlist-cpp 427600 495086
linkedlist-cpp 529800 624421
linkedlist-cpp 817400 931622
linkedlist-cpp 805900 936056
linkedlist-cpp 857500 998164
linkedlist-cpp 551400 630949
linkedlist-cpp 357700 424170
linkedlist-cpp 340800 403473
linkedlist-cpp 697200 799447
linkedlist-cpp 711700 815083
linkedlist-cpp 642100 734197
linkedlist-cpp 401100 500652
linkedlist-cpp 669700 715559
linkedlist-cpp 812000 905008
linkedlist-cpp 528200 587224
linkedlist-cpp 114700 119194
linkedlist-cpp 469400 524915
linkedlist-cpp 318600 398717
linkedlist-cpp 631200 681456
linkedlist-cpp 460300 547196
linkedlist-cpp 815500 734940
linkedlist-cpp 156700 190690
linkedlist-cpp 291900 365848
linkedlist-cpp 879500 961773
linkedlist-cpp 786200 871858
linkedlist-cpp 906700 922225
linkedlist-cpp 177600 185692
linkedlist-cpp 344700 389594
linkedlist-cpp 590700 558794
linkedlist-cpp 466400 554018
linkedlist-cpp 826600 925448
linkedlist-cpp 605200 649586
linkedlist-cpp 575000 637844
linkedlist-cpp 615600 679773
linkedlist-cpp 589300 692726
linkedlist-cpp 404900 444095
linkedlist-cpp 426700 479299
linkedlist-cpp 516100 605128
linkedlist-cpp 127400 150055
linkedlist-python 5300 655
linkedlist-python 7600 907
linkedlist-python 800 39
linkedlist-python 2200 264
linkedlist-python 7700 909
linkedlist-python 1300 131
linkedlist-python 7100 857
linkedlist-python 8200 969
linkedlist-python 3600 451
linkedlist-python 4300 544
linkedlist-python 1800 194
linkedlist-python 5600 685
linkedlist-python 4900 610
linkedlist-python 4100 528
linkedlist-python 1800 195
linkedlist-python 2500 297
linkedlist-python 3200 411
linkedlist-python 1000 79
linkedlist-python 2300 271
linkedlist-python 3500 440
linkedlist-python 7700 913
linkedlist-python 800 50
linkedlist-python 6000 723
linkedlist-python 1200 115
linkedlist-python 5200 650
linkedlist-python 3000 364
linkedlist-python 5800 707
linkedlist-python 3800 473
linkedlist-python 2600 316
linkedlist-python 7700 907
linkedlist-python 3700 471
linkedlist-python 3100 366
linkedlist-python 4500 563
linkedlist-python 1800 206
linkedlist-python 900 63
linkedlist-python 2800 338
linkedlist-python 3200 401
linkedlist-python 2200 256
linkedlist-python 8000 937
linkedlist-python 1600 172
linkedlist-python 6300 758
linkedlist-python 5500 665
